,Название,Разрешение,класс;
176,установите MS office,пожалуйста,войдите в веб-почту и перейдите в настройки-office 365 - установка приложений-загрузка и установка MS office для вашей машины., 42;
"177,для нового участника требуется новая учетная запись.,""Перейдите по ссылке : accountsetup.com, Введите личные данные вместе с идентификатором пользователя, введите полученный OTP, нажмите кнопку Готово. Проверьте электронную почту для получения подробной информации"", 35";
"178,Разрешены ли пробелы в адресах электронной почты?"", Точно так же, как в URL-адресе в Интернете, в адресе электронной почты не допускаются пробелы. Однако имена могут быть разделены с помощью точки";" например, у Джона Смита может быть адрес электронной почты: john.smith@example.com или john.s@example.com потому что в адресе электронной почты не допускается пробелов"",12."
179,Заблокированный аккаунт. Не входите в систему,разблокируйте учетную запись,и новый пароль будет отправлен на ваш идентификатор электронной почты., 47;
"180,Может ли вирус повредить компьютерное оборудование?"", Нет. Компьютерные вирусы-это программный код, предназначенный для распространения на компьютерные файлы и другие компьютеры, удаления файлов и возникновения других проблем с данными на компьютере. Поэтому, если у вас возникли проблемы с аппаратным устройством, таким как принтер, видеокарта, звуковая карта и т. Д. это не связано с вирусом"", 16";
181,Настройка Outlook в моей системе,ИТ-команда отправила инструкции по настройке outlook-следуйте инструкциям на https://ticket.abc.com/kb/faq.phpB и нажмите O365 и решение,а затем конфигурация Outlook для ваших машин, 39;
"182,Создайте новую учетную запись и поделитесь именем пользователя и паролем"", Перейдите по адресу : accountsetup.com, Введите личные данные вместе с идентификатором пользователя, введите полученный OTP, нажмите кнопку Готово. Проверьте электронную почту для получения подробной информации"", 35";
"183,FW: Проблема входа в Myspace - Ania"", Перейдите по URL : password.reset.com, Введите свой логин, введите полученный пароль, сбросьте пароль"",36";
"184,""Забытый пароль, пожалуйста, сбросьте пароль для меня"",""Перейдите по URL : password.reset.com, Введите свой логин, введите полученный пароль, сбросьте пароль"",36";
"185,Учитывая проблему с сетью / Интернетом с Wi-Fi xwq090,""Перейдите на вкладку ""Сеть"" в правом нижнем углу, выберите сеть inn001, нажмите""Подключиться"""", 38";
"186,Как я могу почистить клавиатуру?,"" Клавиши на клавиатуре только защелкиваются, ножом или другим тонким предметом осторожно вынимайте клавиши, это позволит вам чистить под клавишами, а также чистить сами клавиши (убедитесь,что вы помните, куда они делись!)"", 20.";
"187,Как я могу восстановить файл из корзины?"", "" Дважды щелкните значок корзины на рабочем столе, здесь вы увидите все файлы в своей корзине. Выберите файлы, которые вы хотите восстановить,щелкните правой кнопкой мыши и выберите""Восстановить""., 5";
"188,Как я могу обновить свой компьютер с Microsoft Windows?,"" Если вы используете Microsoft Windows 7, Windows 10 или более позднюю версию Microsoft Windows, вы имеете право обновлять Microsoft Windows, а в некоторых случаях и ваше компьютерное оборудование последними драйверами через сайт обновлений Microsoft, посетите http://windowsupdate.microsoft.com. В большинстве случаев ваш компьютер должен быть настроен на автоматическое обновление при появлении нового обновления"",9.";
"189,Как удалить интернет-файлы cookie?"", Пользователи Microsoft Internet Explorer могут перейти в раздел ""Инструменты"" (или маленький значок шестеренки в левом верхнем углу), затем перейти в раздел ""Безопасность"" и выбрать "" Удалить историю просмотров..."", затем вы можете удалить свои интернет-файлы cookie. В Google Chrome перейдите в раздел ""Дополнительные инструменты""и выберите"" Очистить данные браузера..."". Пользователи Firefox могут перейти в раздел ""История"", а затем выбрать "" Очистить недавнюю историю..."""", 15";
"190,Как мне найти имя моего компьютера?"", щелкните правой кнопкой мыши Мой компьютер. Нажмите кнопку Свойства. В окне Свойства перейдите на вкладку Имя компьютера. На этой вкладке вы сможете увидеть полное имя компьютера, рабочую группу, а также описание. Если вы хотите изменить имя или рабочую группу, нажмите кнопку Изменить"",18.";
191,Как устранить замятие бумаги?, Выключите принтер. Проверьте расположение или лоток, в который выбрасывается напечатанная бумага. Если видна прилипшая бумага, удалите ее вручную. Удалите все лотки для бумаги и любую бумагу, которая может застрять между лотком и принтером. Если видна прилипшая бумага, удалите ее вручную. Откройте дверцу принтера, через которую можно получить доступ к картриджам или тонеру принтера, и найдите любую застрявшую бумагу. Если видна прилипшая бумага, удалите ее вручную. Снова включите принтер.,24;
"192,Как мне войти в безопасный режим?,"" Чтобы перейти в безопасный режим Windows 7/10, когда компьютер запускается, нажмите и удерживайте клавишу """"F8"""", которая должна вызвать меню """"Дополнительные параметры Windows"""""". Используйте клавиши со стрелками для перехода в ""Безопасный режим""и нажмите клавишу ввода"", 22.";
"193,Как сопоставить сетевой диск?"","" Откройте Microsoft Explorer. В Проводнике выберите раскрывающееся меню ""Сервис""и выберите опцию"" Сопоставить сетевой диск"". В качестве папки укажите сетевой диск или сетевой компьютер. Если имя компьютера было hope, для сопоставления с этим компьютером введите \\hope Если вы хотите сопоставить общую папку на компьютере hope, например папку mp3, вы должны ввести \\hope\mp3. Если для подключения к этому компьютеру или диску требуется другое имя пользователя или логин,его необходимо указать в этом окне до нажатия кнопки""Готово"""", 17.";
"194,Я больше не могу подключиться к своему сетевому диску."" Убедитесь, что сетевой кабель правильно подключен к задней панели компьютера. Кроме того, при проверке подключения сетевого кабеля убедитесь, что светодиоды в сети горят правильно. Например, сетевая карта со сплошным зеленым светодиодом или лампочкой обычно указывает на то, что карта либо подключена, либо принимает сигнал. Примечание: как правило, когда мигает зеленый индикатор, это указывает на отправку или получение данных"",28.";
"195,Я не могу удалить файл, потому что он используется Windows.,"" Закройте все программы, запущенные на компьютере, и повторите попытку. Если после закрытия всех программ, запущенных на компьютере,вы все еще сталкиваетесь с той же проблемой при попытке удалить файлы, загрузите компьютер в безопасный режим и удалите файлы"", 4.";
"196,Я не могу получать вложения электронной почты.,"" Если почтовый ящик заполнен другими сообщениями электронной почты и/или объем вашего хранилища составляет всего несколько мегабайт, возможно, отправленное вложение не может быть получено. Часто, если возникает эта проблема, человек, отправляющий электронное письмо, должен получить ответ с вашего почтового сервера, указывающий, что ваш почтовый ящик заполнен и/или превысил выделенный размер. Поскольку компьютерные вирусы и другие вредоносные программы лучше всего распространяются по электронной почте, многие поставщики услуг электронной почты, компании и почтовые программы предотвращают распространение или получение определенных типов расширений файлов по электронной почте. Например, Microsoft Outlook защищает своих пользователей,автоматически отключая получение по электронной почте определенных типов расширений файлов"", 7.";
"197,Я не могу отправлять или получать электронные письма."" Убедитесь, что ваш компьютер может видеть Интернет и/или другие компьютеры, чтобы убедиться, что у вашего компьютера не возникает проблем с подключением, которые могли бы вызвать проблемы с вашей электронной почтой. Убедитесь,что ваш сервер электронной почты в Интернете или Сетевой сервер электронной почты не сталкиваются с проблемами, связавшись с вашим интернет-провайдером или сетевым администратором"", 29.";
"198,""Я получаю сообщение"" вход сигнала отсутствует"", что мне делать?"", "" Убедитесь, что монитор правильно подключен к задней панели монитора, а также к задней панели компьютера. Если монитор подключен правильно, убедитесь, что кабель не ослаблен, отсоединив все кабели, которые можно отсоединить на задней панели монитора (как правило, кабель передачи данных отсоединить невозможно). Затем отсоедините кабель для передачи данных, подключенный к задней панели компьютера, а затем снова подключите кабель. При подключении кабеля в задней части компьютера убедитесь, что кабельное соединение плотно. У большинства компьютеров также будут винтовые концы,которые можно вкрутить, чтобы удерживать разъем на месте"", 27.";
199,я потерял установочный диск принтера. Как я могу установить свой принтер? К счастью, отсутствие установочного диска или диска с принтером-это не конец света, и вам не придется ждать, пока вам не отправят новую дискету или компакт-диск. Сегодня все производители принтеров и другого оборудования загружают через Интернет свои программные программы и драйверы,которые входят в комплект их продукции., 19;
"200,""Если я отформатирую или удалю свой диск, он удалит вирус?"","" Если ваш компьютер заражен вирусом, форматирование или стирание жесткого диска и повторное запуск почти всегда удалят любой тип вирусов. Однако имейте в виду, что если были сделаны резервные копии, содержащие вирус, на других носителях или дисках, подключенных к компьютеру,есть вирус, ваш компьютер подключен к другому компьютеру по сети с вирусом и/или вирус хранится на каком-либо другом типе программного обеспечения, которое вы используете на своем компьютере, он может быть повторно заражен, если не будет должным образом защищен"", 11";
201,Установите MS Office, пожалуйста, войдите в веб-почту и перейдите в настройки-office 365-установка приложений - загрузите и установите MS office для вашего компьютера.,42;
"202,Установите базу данных Postgres на моем компьютере,""Перейдите в папку \imfs\software\postgres, скопируйте базу данных postgresql в локальную и установите"",37";
203,Оснащена ли Windows антивирусной программой?, Все версии Microsoft Windows не поставляются с предустановленной программой защиты от вирусов. Это включает в себя: Microsoft Windows 7 и Windows 10.,1.;
204,Безопасно ли выключать компьютер с Windows без выключения?, пользователи не должны просто нажимать кнопку питания или перезагружать компьютер, пока Windows все еще работает, если только с компьютером не возникла проблема. Корпорация Майкрософт включила функцию выключения, поскольку она позволяет компьютеру выполнить все необходимые действия, необходимые перед выключением компьютера. На самом деле многие версии Microsoft Windows будут проверять компьютер на наличие каких-либо проблем,если компьютер не выключен должным образом., 25;
205,Локальная сеть не работает в виртуальной машине,изменил параметры сети на мостовую и настроил сеть в виртуальной машине.,49;
"206,Учетные данные для входа не работают.,""Перейдите по URL : password.reset.com, Введите свой логин, введите полученный пароль, сбросьте пароль"",36";
207,Мое приложение для контроля качества пространства недоступно,мы сожалеем о вызванном несоответствии. Проблема связана с хост-сервером,который был перезагружен из-за сбоя питания., 48;
"208,Мой компьютер не включается?"", "" Убедитесь, что все кабели надежно подключены к задней панели устройства и монитору. Убедитесь, что кабели питания подключены к розетке питания и розетка включена. Попробуйте использовать другую розетку питания или, если вы используете удлинитель питания, подключите кабель питания непосредственно к розетке питания в стене. Замените кабель питания на тот, который, как вы знаете, работает. Проверьте, горит ли какой-либо свет на передней панели устройства: если на устройстве горит свет, но нет монитора, то, вероятно, это проблема с монитором. Если на мониторе горит свет, но не на машине, то, вероятно, это проблема с машиной. Если ни на чем нет света, то, возможно, есть локальное отключение электроэнергии. С ноутбуками попробуйте отсоединить кабель питания и аккумулятор. Удерживайте нажатой кнопку питания около десяти секунд, а затем снова подключите аккумулятор и кабель питания. Нажмите кнопку питания,чтобы увидеть, включается ли он"", 3.";
"209,Мой компьютер зависает или ведет себя странно?,"" Попробуйте перезагрузить компьютер. Таким образом, многие основные проблемы могут быть решены легко и быстро. Одновременно нажмите клавиши Ctrl, Alt и Del на клавиатуре. При этом должно появиться меню, которое позволит вам запустить Диспетчер задач. В диспетчере задач перейдите на вкладку Приложения. Выделите все программы со статусом ""Не отвечает"" и выберите Завершить задачу. Вас могут попросить подтвердить, хотите ли вы завершить работу программы, не отвечающей на запросы, поэтому выберите ""Да"". Сделайте это для всех программ, которые не отвечают. Если все остальное не удается и вы не можете выключить/перезагрузить компьютер, затем удерживайте нажатой кнопку питания на устройстве до тех пор, пока оно принудительно не выключится. Подождите несколько секунд,а затем снова включите его"", 23.";
"210,Мой компьютер не включается. Что мне теперь делать?"", "" Сначала проверьте кабель питания компьютера, чтобы убедиться, что он полностью подключен к розетке. Если вы используете штекерную полоску, убедитесь, что она полностью подключена к розетке и что выключатель питания на штекерной полосе включен. Некоторые штекерные планки также имеют встроенный автоматический выключатель, который обычно выглядит как черная или красная кнопка рядом с выключателем питания. Нажмите кнопку,чтобы сбросить его, и посмотрите, решит ли это проблему"", 6.";
"211,Мой интернет не работает,""Перейдите на вкладку""Сеть"" в правом нижнем углу, выберите сеть inn001, нажмите ""Подключиться"""", 38";
"212,Мой принтер печатает размазанные / искаженные страницы?"", "" При печати на нетрадиционной бумаге на вашем принтере могут появиться пятна, неровный или неровный текст и/или текст, который стекает с краев бумаги. Принтер может печатать нечеткий, размытый и/или другой нечеткий текст из-за грязных печатающих головок. Все современные принтеры имеют определенный тип очистки принтера, режим самопроверки и/или диагностики, который может быть выполнен для проверки и очистки печатающих головок принтеров и другого внутреннего оборудования,используемого для печати"", 30.";
"213,Истечение срока действия пароля MySpace"", Пожалуйста, сбросьте пароль с помощью портала самообслуживания http://ssp.abc.com, Пожалуйста, напишите нам, если у вас возникнут какие-либо проблемы"",43";
214,Требуется доступ к Ethernet,пожалуйста, подключите кабель локальной сети к красному порту на вашей рабочей станции. Пожалуйста,напишите ЕМУ, если вы не можете получить IP-адреса, 41;
"215,Подключение к Интернету невозможно,""Перейдите на вкладку""Сеть"" в правом нижнем углу, выберите сеть inn001, нажмите ""Подключиться"", 38";
"216,На мониторе ничего не отображается?,"" Убедитесь, что компьютер и монитор включены. Убедитесь, что монитор надежно подключен к компьютеру. Убедитесь, что кабель питания надежно подключен к монитору. Некоторые компьютеры имеют несколько портов отображения, поэтому убедитесь, что монитор подключен правильно. Попробуйте каждый по очереди, выключая монитор, а затем включайте его между ходами. На большинстве мониторов при его включении отображается окно состояния. Проверьте, отображается ли это окно состояния при нажатии кнопки питания на мониторе. Вы также можете попробовать это с помощью кнопки меню на мониторе, которая должна вывести на экран меню опций. Это показывает, что экран работает нормально, так что это может быть проблема с видеокабелем от монитора или самой машины. Проверьте уровни яркости и контрастности монитора с помощью кнопки меню, чтобы убедиться, что он не был установлен слишком темным. Переместите мышь и нажмите любую клавишу на клавиатуре, чтобы убедиться, что заставка не активирована или что компьютер не перешел в режим ожидания/гибернации.  "",13";
"217,Срок действия пароля истек.,""Перейдите по URL : password.reset.com, Введите свой логин, введите полученный пароль, сбросьте пароль"",36";
218,Замените батарею для моего ноутбука Macbook,пожалуйста, запустите тест батареи Helath и отправьте нам результаты, которые ИТ - команда сделает соответствующим образом. Пожалуйста, следуйте инструкциям, чтобы установить аккумуляторную батарею https://ticket.abc.com/kb/faq.phpB Проблема с оборудованием-Проблема с батареей,44;
219,Запросите,чтобы система была настроена для совместного использования между пользователями, они не смогут получить доступ к другим профилям, если войдут в систему со своей учетной записью. Пожалуйста,попросите пользователей обратиться к НЕМУ, если у них возникнут какие-либо проблемы., 46;
"220,Требуется разрешение доступа Wi-Fi к ноутбуку:""Сначала подключите сетевой кабель к ноутбуку к красному порту на рабочей станции. Запустите ipconfig /all в командной строке. Поделитесь Mac-адресом Wi-Fi или аппаратным адресом с ИТ-командой. Затем ИТ-команда добавляет ваш MAC-идентификатор для включения доступа к Wi-Fi"",34";
"221,""Система ведет себя странно, посередине появляется синий экран"",""Нажмите кнопку F8 при запуске системы, выберите безопасный режим, если ОС загружается, затем перезагрузите ОС,если возникнет та же проблема, передайте ее ИТ-команде"", 45";
"222,Система показывает синий экран при запуске""1. Удерживайте кнопку питания до тех пор, пока система не выключится, затем нажмите кнопку питания, чтобы загрузить машину. Если все еще появляется синий экран,свяжитесь с ИТ-командой и отдайте ноутбук"", 32.";
223,Учетная запись была заблокирована из-за 3 неправильных попыток ввода пароля. Не могли бы вы, пожалуйста, сбросить пароль?,Разблокирована учетная запись,и новый пароль будет отправлен на ваш электронный идентификатор., 47;
224,Компьютер не включается,Обратитесь в ИТ-службу поддержки.,33;
"225,Рабочий стол не работает,""Пожалуйста , проверьте, правильно ли подключены кабели питания, пожалуйста, напишите нам, если проблема все еще сохраняется"",40.";
"226,Система зависает при запуске с синим экраном,""Нажмите кнопку F8 при запуске системы, выберите безопасный режим, если ОС загружается, затем перезагрузите ОС,если возникнет та же проблема, передайте ее ИТ-команде"", 45";
"227,""Колесо на моей мыши работает неправильно, что я делаю?"","" Если вы используете любую версию Microsoft Windows и сталкиваетесь с проблемами с колесом мыши, сначала попытайтесь настроить параметры мыши через окно Свойств мыши. Доступ к этому окну можно получить,открыв панель управления и дважды щелкнув значок мыши"", 10.";
"228,""На моем экране черные границы, что я делаю?"","" Если разрешение недавно было изменено, возможно, монитор не будет автоматически подстраиваться или сдвигаться до нужного размера. В этом случае разрешение можно изменить на исходное или настроить монитор вручную. Если на мониторе имеется черная граница, ее, как правило, можно устранить, вручную отрегулировав ширину по горизонтали или вертикали. Поскольку каждый монитор отличается, метод настройки этого параметра будет отличаться";" обратитесь к документации вашего монитора."",8"
"229,""На мониторе нет дисплея, что я сейчас делаю?"","" Убедитесь, что монитор включен. Если на дисплее монитора не отображается индикатор питания (зеленый или оранжевый), попробуйте нажать кнопку питания, пока она не загорится. Если монитор вашего компьютера был включен, и вы отошли от компьютера, а по возвращении он был черным, вполне вероятно, что компьютер спит. Попробуйте переместить мышь, нажать кнопки мыши и/или нажать любую клавишу (пробел) на клавиатуре, чтобы разбудить ее. Убедитесь,что монитор правильно подключен к задней панели компьютера"", 14.";
"230,Что мне делать, если мой компьютер выйдет из строя?,"" Существует множество причин, по которым компьютер может просто перестать работать или """"зависнуть"""". В большинстве случаев мы мало что можем с этим поделать, это факт жизни, что компьютерные программы стали настолько сложными, что иногда пользователи будут испытывать проблемы даже при выполнении обычных задач. Когда ваш компьютер больше не реагирует на команды клавиатуры,вам лучше всего перезагрузить компьютер"", 21.";
"231,Что мне делать, если мой жесткий диск не работает?"", Как и в случае большинства компьютерных ошибок, ваш первый шаг-выключить компьютер и перезагрузить его. Это поможет вам определить, действительно ли у вас проблема с жестким диском. Если диск серьезно поврежден, то ваш компьютер, вероятно, не сможет перезагрузиться должным образом. Если это так, то обратитесь в MCWare IT Solutions,это работа для профессионалов"", 2.";
"232,Что мне делать, если изображение на экране искажено или искажено?"" Вы можете получить искаженное изображение, когда кабель ослаблен или поврежден. Отсоедините видеокабель, идущий от задней панели компьютера, и убедитесь, что контакты не погнуты, не обгорели или не сломаны. После проверки снова подключите кабель монитора. Если частота обновления установлена неправильно, монитор может иметь волнистый вид или выглядеть так, будто линии медленно или быстро проходят вниз или поперек монитора, это также может вызвать эффект мерцания. Искаженное изображение может быть вызвано магнитными или другими видами помех. Убедитесь, что рядом с монитором нет динамиков,вентиляторов или других магнитных устройств"", 31.";
"233,Что такое компьютерный вирус?,"" Компьютерный вирус-это программное обеспечение, которое было намеренно создано, чтобы причинить горе пользователю, распространиться на другие компьютеры или уничтожить данные на компьютере человека. Чтобы предотвратить заражение компьютера вирусом, разработчики программного обеспечения разработали антивирусные программы, которые остаются активными на компьютере и помогают защитить его. Важно понимать, что многие компьютеры не поставляются предварительно загруженными с уже установленными и что,если компьютеры поставляются с этими программами, срок действия программ может истечь в течение 90 дней"", 0";
234,Почему моя мышь ведет себя непредсказуемо? Пользователи, у которых есть оптическая механическая мышь (наиболее распространенная мышь для настольных компьютеров), вероятно, испытывают неустойчивое поведение, потому что мышь не чистая или грязная. Если вы почистили мышь и продолжаете сталкиваться с проблемами, и эта мышь в прошлом работала нормально, к сожалению, ваша мышь, скорее всего, неисправна. Один дополнительный тест, который можно выполнить, чтобы помочь определить, так это или нет, - это подключить мышь к другому компьютеру. В противном случае мы предлагаем заменить мышь.,26;
"235,Требуется доступ к Wi-Fi.,""Во-первых, подключите сетевой кабель к ноутбуку к красному порту на рабочей станции. Запустите ipconfig /all в командной строке. Поделитесь Mac-адресом Wi-Fi или аппаратным адресом с ИТ-командой. Затем ИТ-команда добавляет ваш MAC-идентификатор для включения доступа к Wi-Fi"",34";
